time(sec),ch1,ch2,ch3
9.781,-0.137,-0.137,-0.137
9.789,-0.137,-0.137,-0.137
9.797,-0.137,-0.137,-0.137
9.805,-0.137,-0.137,-0.137
9.813,-0.137,-0.137,-0.137
9.82,-0.137,-0.137,-0.137
9.828,-0.137,-0.137,-0.137
9.836,-0.137,-0.137,-0.137
9.844,-0.137,-0.137,-0.137
9.852,-0.137,-0.137,-0.137
9.859,-0.137,-0.137,-0.137
9.867,-0.137,-0.137,-0.137
9.875,-0.137,-0.137,-0.137
9.883,-0.137,-0.137,-0.137
9.891,-0.137,-0.137,-0.137
9.898,-0.137,-0.137,-0.137
9.906,-0.137,-0.137,-0.137
9.914,-0.137,-0.137,-0.137
9.922,-0.137,-0.137,-0.137
9.93,-0.137,-0.137,-0.137
9.938,-0.137,-0.137,-0.137
9.945,-0.137,-0.137,-0.137
9.953,-0.137,-0.137,-0.137
9.961,-0.137,-0.137,-0.137
9.969,-0.137,-0.137,-0.137
9.977,-0.137,-0.137,-0.137
9.984,-0.137,-0.137,-0.137
9.992,-0.137,-0.137,-0.137
10,-0.137,-0.137,-0.137
10.008,-0.137,-0.137,-0.137
10.016,-0.137,-0.137,-0.137
10.023,-0.137,-0.137,-0.137
10.031,-0.137,-0.137,-0.137
10.039,-0.137,-0.137,-0.137
10.047,-0.137,-0.137,-0.137
10.055,-0.137,-0.137,-0.137
10.063,-0.137,-0.137,-0.137
10.07,-0.137,-0.137,-0.137
10.078,-0.137,-0.137,-0.137
10.086,-0.137,-0.137,-0.137
10.094,-0.137,-0.137,-0.137
10.102,-0.137,-0.137,-0.137
10.109,-0.137,-0.137,-0.137
10.117,-0.137,-0.137,-0.137
10.125,-0.137,-0.137,-0.137
10.133,-0.137,-0.137,-0.137
10.141,-0.137,-0.137,-0.137
10.148,-0.137,-0.137,-0.137
10.156,-0.137,-0.137,-0.137
10.164,-0.137,-0.137,-0.137
10.172,-0.137,-0.137,-0.137
10.18,-0.137,-0.137,-0.137
10.188,-0.137,-0.137,-0.137
10.195,-0.137,-0.137,-0.137
10.203,-0.137,-0.137,-0.137
10.211,-0.137,-0.137,-0.137
10.219,-0.137,-0.137,-0.137
10.227,-0.137,-0.137,-0.137
10.234,-0.137,-0.137,-0.137
10.242,-0.137,-0.137,-0.137
10.25,-0.137,-0.137,-0.137
10.258,-0.137,-0.137,-0.137
10.266,-0.137,-0.137,-0.137
10.273,-0.137,-0.137,-0.137
10.281,-0.137,-0.137,-0.137
10.289,-0.137,-0.137,-0.137
10.297,-0.137,-0.137,-0.137
10.305,-0.137,-0.137,-0.137
10.313,-0.137,-0.137,-0.137
10.32,-0.137,-0.137,-0.137
10.328,-0.137,-0.137,-0.137
10.336,-0.137,-0.137,-0.137
10.344,-0.137,-0.137,-0.137
10.352,-0.137,-0.137,-0.137
10.359,-0.137,-0.137,-0.137
10.367,-0.137,-0.137,-0.137
10.375,-0.137,-0.137,-0.137
10.383,-0.137,-0.137,-0.137
10.391,-0.137,-0.137,-0.137
10.398,-0.137,-0.137,-0.137
10.406,-0.137,-0.137,-0.137
10.414,-0.137,-0.137,-0.137
10.422,-0.137,-0.137,-0.137
10.43,0.078,0.078,0.078
10.438,0.627,0.627,0.627
10.445,0.765,0.765,0.765
10.453,0.804,0.804,0.804
10.461,0.804,0.804,0.804
10.469,0.804,0.804,0.804
10.477,0.804,0.804,0.804
10.484,0.804,0.804,0.804
10.492,0.804,0.804,0.804
10.5,0.804,0.804,0.804
10.508,0.804,0.804,0.804
10.516,0.804,0.804,0.804
10.523,0.804,0.804,0.804
10.531,0.804,0.804,0.804
10.539,0.804,0.804,0.804
10.547,0.804,0.804,0.804
10.555,0.804,0.804,0.804
10.563,0.804,0.804,0.804
10.57,0.569,0.569,0.569
10.578,0.02,0.02,0.02
10.586,-0.098,-0.098,-0.098
10.594,-0.137,-0.137,-0.137
10.602,-0.137,-0.137,-0.137
10.609,-0.137,-0.137,-0.137
10.617,-0.137,-0.137,-0.137
10.625,-0.137,-0.137,-0.137
10.633,-0.137,-0.137,-0.137
10.641,-0.137,-0.137,-0.137
10.648,-0.137,-0.137,-0.137
10.656,-0.137,-0.137,-0.137
10.664,-0.137,-0.137,-0.137
10.672,-0.137,-0.137,-0.137
10.68,-0.137,-0.137,-0.137
10.688,-0.137,-0.137,-0.137
10.695,-0.137,-0.137,-0.137
10.703,-0.137,-0.137,-0.137
10.711,-0.137,-0.137,-0.137
10.719,-0.137,-0.137,-0.137
10.727,-0.137,-0.137,-0.137
10.734,-0.137,-0.137,-0.137
10.742,-0.137,-0.137,-0.137
10.75,-0.137,-0.137,-0.137
10.758,-0.137,-0.137,-0.137
10.766,-0.137,-0.137,-0.137
10.773,-0.137,-0.137,-0.137
10.781,-0.137,-0.137,-0.137
10.789,-0.137,-0.137,-0.137
10.797,-0.137,-0.137,-0.137
10.805,-0.137,-0.137,-0.137
10.813,-0.137,-0.137,-0.137
10.82,-0.137,-0.137,-0.137
10.828,-0.137,-0.137,-0.137
10.836,-0.137,-0.137,-0.137
10.844,-0.137,-0.137,-0.137
10.852,-0.137,-0.137,-0.137
10.859,-0.137,-0.137,-0.137
