time,CH1
3.456,-0.0411987
3.46,-0.043335
3.464,-0.0460815
3.468,-0.0499878
3.472,-0.0518799
3.476,-0.0513916
3.48,-0.0484619
3.484,-0.0452271
3.488,-0.0441284
3.492,-0.0440063
3.496,-0.0455933
3.5,-0.0476685
3.504,-0.0495605
3.508,-0.0511475
3.512,-0.0514526
3.516,-0.0509033
3.52,-0.0490723
3.524,-0.0471802
3.528,-0.0465698
3.532,-0.046936
3.536,-0.0490723
3.54,-0.0499878
3.544,-0.0487671
3.548,-0.0480347
3.552,-0.0477295
3.556,-0.0473022
3.56,-0.0475464
3.564,-0.046875
3.568,-0.0463257
3.572,-0.0462646
3.576,-0.0472412
3.58,-0.0487671
3.584,-0.0494385
3.588,-0.0494995
3.592,-0.0488281
3.596,-0.0490723
3.6,-0.0498047
3.604,-0.0505371
3.608,-0.0507202
3.612,-0.0496826
3.616,-0.0484619
3.62,-0.0465088
3.624,-0.0455933
3.628,-0.0454712
3.632,-0.0465698
3.636,-0.0473633
3.64,-0.0472412
3.644,-0.0454712
3.648,-0.0429077
3.652,-0.0405273
3.656,-0.0393066
3.66,-0.0383911
3.664,-0.0392456
3.668,-0.0415039
3.672,-0.045166
3.676,-0.0489502
3.68,-0.0507812
3.684,-0.0510864
3.688,-0.0490723
3.692,-0.0447388
3.696,-0.0393066
3.7,-0.0346069
3.704,-0.0306396
3.708,-0.026001
3.712,-0.0216675
3.716,-0.0160522
3.72,-0.00915527
3.724,-0.00256348
3.728,0.00292969
3.732,0.00671387
3.736,0.00891113
3.74,0.00830078
3.744,0.00598145
3.748,0.0022583
3.752,-0.00134277
3.756,-0.00421143
3.76,-0.00750732
3.764,-0.0135498
3.768,-0.0254517
3.772,-0.0406494
3.776,-0.0544434
3.78,-0.0632324
3.784,-0.0645752
3.788,-0.0612793
3.792,-0.0570679
3.796,-0.0548706
3.8,-0.0556641
3.804,-0.0577393
3.808,-0.0597534
3.812,-0.060791
3.816,-0.0613403
3.82,-0.0618286
3.824,-0.0625
3.828,-0.0631714
3.832,-0.0633545
3.836,-0.0631714
3.84,-0.0625
3.844,-0.0610962
3.848,-0.0594482
3.852,-0.05896
3.856,-0.0585938
3.86,-0.0551147
3.864,-0.0420532
3.868,-0.0103149
3.872,0.0448608
3.876,0.122375
3.88,0.217224
3.884,0.316284
3.888,0.39801
3.892,0.428589
3.896,0.386047
3.9,0.266418
3.904,0.10376
3.908,-0.0493774
3.912,-0.151733
3.916,-0.189819
3.92,-0.176514
3.924,-0.135681
3.928,-0.0891113
3.932,-0.0494995
3.936,-0.0245361
3.94,-0.0157471
3.944,-0.0198364
3.948,-0.0287476
3.952,-0.0363159
3.956,-0.0393677
3.96,-0.0372925
3.964,-0.0333252
3.968,-0.02948
3.972,-0.026001
3.976,-0.0233154
3.98,-0.0213013
3.984,-0.0199585
3.988,-0.0189209
3.992,-0.0181274
3.996,-0.0172729
4,-0.0160522
4.004,-0.0147705
4.008,-0.0131226
4.012,-0.010437
4.016,-0.00744629
4.02,-0.003479
4.024,-0.000183105
4.028,0.00177002
4.032,0.00231934
4.036,0.00238037
4.04,0.00354004
4.044,0.0078125
4.048,0.0136719
4.052,0.0187988
4.056,0.0227051
4.06,0.0241089
4.064,0.0251465
4.068,0.0275879
4.072,0.0317383
4.076,0.0378418
4.08,0.0443726
4.084,0.0508423
4.088,0.057251
4.092,0.0643311
4.096,0.0712891
4.1,0.0777588
4.104,0.0828857
4.108,0.0886841
4.112,0.0952759
4.116,0.102844
4.12,0.112549
4.124,0.124634
4.128,0.137329
4.132,0.149048
4.136,0.159485
4.14,0.168762
4.144,0.177734
4.148,0.18689
4.152,0.195801
4.156,0.202271
4.16,0.207031
4.164,0.209961
4.168,0.21167
4.172,0.211975
4.176,0.208923
4.18,0.199768
4.184,0.18457
4.188,0.166138
4.192,0.144653
4.196,0.123352
4.2,0.102051
4.204,0.0797729
4.208,0.0588379
4.212,0.0397339
4.216,0.0223999
4.22,0.00756836
4.224,-0.00457764
4.228,-0.0151367
4.232,-0.0240479
4.236,-0.0307007
4.24,-0.0353394
4.244,-0.0383301
4.248,-0.0402222
4.252,-0.041626
4.256,-0.0429077
4.26,-0.0437622
4.264,-0.0452881
4.268,-0.0463867
4.272,-0.0463257
4.276,-0.0455322
4.28,-0.0431519
4.284,-0.0422363
4.288,-0.0422363
4.292,-0.0419312
4.296,-0.0419312
4.3,-0.0406494
4.304,-0.0397339
4.308,-0.0391846
4.312,-0.0404663
4.316,-0.0411377
4.32,-0.0405273
4.324,-0.0378418
4.328,-0.0335693
4.332,-0.0309448
4.336,-0.0320435
4.34,-0.034668
4.344,-0.0362549
4.348,-0.0355225
4.352,-0.0324097
4.356,-0.0298462
4.36,-0.0289917
4.364,-0.0294189
4.368,-0.0297852
4.372,-0.0289917
